GEOID20,TDI_base,TDI_supply_iso,TDI_supply_freq,TDI_supply_station,residual_TDI_supply_iso,residual_TDI_supply_freq,residual_TDI_supply_station,TDI_base_rank,TDI_supply_iso_rank,TDI_supply_freq_rank,TDI_supply_station_rank,rank_std
49049002204,0.75826275574747,0.883060065869582,0.325853971767592,0.523144858524536,0.12479731012211193,-0.43240878397987803,-0.23511789722293408,33.0,36.0,123.0,47.0,42.59401366389413
49049002205,0.193127176650267,-0.384727987044796,0.339992281691437,0.359775685921318,-0.577855163695063,0.14686510504117004,0.166648509271051,233.0,370.0,77.0,202.0,120.33425669082489
49049010407,-0.446066294200091,-1.378855845199525,0.235899442397699,-0.128349827797617,-0.932789550999434,0.68196573659779,0.317716466402474,408.0,501.0,229.0,349.0,113.8928590093924
49049010408,0.430909037024189,0.213538723269609,0.294652957022364,0.390884920062047,-0.21737031375458,-0.136256080001825,-0.040024116962141976,156.0,202.0,182.0,185.0,18.997806890972093
49049010505,0.170089185446309,-0.544879975313682,0.343997712733373,0.452857022689728,-0.7149691607599911,0.173908527287064,0.28276783724341903,239.0,400.0,72.0,160.0,139.33742019524644
49049010506,0.224645411719144,-0.256135937060411,0.363634026190753,0.290766375610967,-0.48078134877955503,0.138988614471609,0.06612096389182301,222.0,340.0,50.0,230.0,119.78174596601382
49049010700,0.439205839011761,0.159072401408202,0.256636970938928,0.511389409801983,-0.280133437603559,-0.182568868072833,0.07218357079022197,150.0,227.0,210.0,52.0,79.06273880069338
49049002901,0.501274707732992,0.387450414529839,0.189838088211482,0.49760103801644,-0.11382429320315296,-0.31143661952151,-0.003673669716551975,133.0,162.0,265.0,68.0,82.02845034905064
49049002902,-0.034549894036842,-0.526769236112059,0.147106843320596,0.117644606552575,-0.49221934207521695,0.181656737357438,0.152194500589417,288.0,398.0,299.0,281.0,54.83611948342078
49049003001,-0.460438715753188,-0.699637330866064,0.169888733123723,-0.779635051762068,-0.23919861511287593,0.6303274488769111,-0.31919633600888003,411.0,423.0,288.0,466.0,76.40680597957227
49049003002,0.435859609496647,0.343923221795612,0.181031242723623,0.37900294824,-0.09193638770103496,-0.254828366773024,-0.056856661256646956,154.0,165.0,281.0,193.0,57.557941820974335
49049003103,0.687557127117562,0.775812220035722,0.278742847992348,0.478818788481254,0.08825509291816003,-0.408814279125214,-0.20873833863630803,96.0,105.0,196.0,141.0,45.37620521815371
49049003106,0.448637780772194,0.317593806281748,0.242968715579534,0.373882525135906,-0.13104397449044602,-0.20566906519266,-0.07475525563628804,148.0,174.0,218.0,196.0,29.97776954122282
49049003204,-0.182064506503189,-0.212690250108456,0.137595184809487,-0.555201803653341,-0.030625743605266986,0.319659691312676,-0.37313729715015204,344.0,328.0,304.0,430.0,54.85435260760991
49049003205,0.352901613941314,0.161371627806962,0.204911268804497,0.333543589470924,-0.191529986134352,-0.14799034513681697,-0.01935802447038998,177.0,224.0,253.0,213.0,31.41522985220173
49049010107,0.737365580845718,0.856842182757091,0.32280284503742,0.479276038750601,0.11947660191137299,-0.414562735808298,-0.25808954209511703,73.0,77.0,138.0,135.0,35.565666965019325
49049000104,0.415028567563126,0.173850319685929,0.183348180526208,0.506115026758937,-0.241178247877197,-0.231680387036918,0.09108645919581104,162.0,219.0,275.0,57.0,93.07120929696788
49049000105,0.493507922790106,0.427453471768604,0.213438416404917,0.410809807402286,-0.06605445102150204,-0.280069506385189,-0.08269811538782001,136.0,154.0,245.0,175.0,47.738873049120045
