OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,POP100,HU100,demand_Jan,demand_Feb,demand_Mar,demand_Apr,demand_May,demand_Jun,demand_Jul,demand_Aug,demand_Sep,demand_Oct,demand_Nov,demand_Dec,demand_yr,Iso_area,track_area,freq_Jan,station_co,supply_Jan,freq_Feb,station__1,supply_Feb,freq_Mar,station__2,supply_Mar,freq_Apr,station__3,supply_Apr,freq_May,station__4,supply_May,freq_Jun,station__5,supply_Jun,freq_Jul,station__6,supply_Jul,freq_Aug,station__7,supply_Aug,freq_Sep,station__8,supply_Sep,freq_Oct,station__9,supply_Oct,freq_Nov,station_10,supply_Nov,freq_Dec,station_11,supply_Dec,supply_yr,tdi_Jan,tdi_Feb,tdi_Mar,tdi_Apr,tdi_May,tdi_Jun,tdi_Jul,tdi_Aug,tdi_Sep,tdi_Oct,tdi_Nov,tdi_Dec,tdi_yr,dominant_type,Commercial_pct,Industrial_pct,MixedUse_pct,Other_pct,Public_pct,Residential_pct,Commercial_pct_pct,Industrial_pct_pct,MixedUse_pct_pct,Other_pct_pct,Public_pct_pct,Residential_pct_pct
207,49,049,000804,49049000804,8.04,Census Tract,G5020,S,1257439.0,0.0,+40.3007177,-111.7056502,3150,1159,1000.7301986025466,1707.7851101089411,817.429887404948,1058.9661981592774,764.0617809256685,538.0101758323524,770.2215402005637,993.0538906253782,1273.854787943184,1272.8519993684001,726.8323362265138,603.7725150664421,11527.570420464219,1.064183383003893,1.256543214359891,56468.0,22,-1.346124681831312,51882.0,22,-1.347579816089149,56820.0,22,-1.346480959629376,56468.0,22,-1.346174511862411,33008.0,22,-1.355006420588883,32796.0,22,-1.356955967805935,32282.0,22,-1.357628705623873,33078.0,22,-1.355877999422671,57772.0,22,-1.307478965042157,61442.0,22,-1.308697450116853,54438.0,22,-1.308065852657031,57772.0,22,-1.317668684277006,-16.053740014946655,0.313841993624482,0.361472438632928,0.281510782321798,0.61471118746953,0.354063410451386,0.279331083233851,0.313807033420493,0.400340311447765,0.462034614983585,0.436437774035047,0.315738325557831,0.282620865842661,0.346692596223596,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,49,049,003405,49049003405,34.05,Census Tract,G5020,S,2625658.0,0.0,+40.0323050,-111.7307052,3935,1170,109.65498615435378,523.3128629898459,195.61433390753731,213.22425535419623,254.11484243389984,230.2649327542432,246.65352476062438,488.7897618245776,163.45005660441993,216.67070355397965,317.4852572688698,115.16424776401202,3074.3997653705596,1.59802409280074,2.623807307095501,38260.0,62,-0.428574071985998,34962.0,62,-0.429931894729909,38260.0,62,-0.429346524578948,38260.0,62,-0.429027666813361,23084.0,62,-0.420311646964767,23432.0,62,-0.418742655644998,22504.0,62,-0.421549624826073,23258.0,62,-0.420814257410459,45016.0,62,-0.372731452387368,47770.0,62,-0.374234041256531,41770.0,62,-0.374490391891524,45016.0,62,-0.382481579661776,-4.902235808151713,-0.134295025064381,-0.09190298268799,-0.187446372342048,-0.254900964416218,-0.278395568317329,-0.248836278267134,-0.211437882336384,-0.113297087405078,-0.212405324205042,-0.16348683016554,-0.163165804766177,-0.194731813735713,-0.16797641770215,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,49,049,980300,49049980300,9803,Census Tract,G5020,S,5645801.0,0.0,+40.2098914,-111.6529642,3707,1348,4684.311728528915,6847.147369461566,4516.9423391675655,1221.8853516011245,2099.8929180004284,2516.8496034372165,5735.1416237842695,2592.3239593879434,2482.2970089281034,2645.2468440378507,1806.300965649727,1755.1295855718688,38903.46929755659,2.906213470704705,5.641711686188594,165638.0,176,2.743820344564304,152421.0,176,2.737714217077572,165882.0,176,2.736843154915278,165558.0,176,2.745856338832859,96972.0,176,2.658545318038465,97058.0,176,2.656946091025034,93859.0,176,2.638523890551379,97122.0,176,2.659752972739126,133174.0,176,2.674395337869619,142259.0,176,2.674858080314393,125591.0,176,2.663126999861107,133159.0,176,2.661538691857159,32.251921437646295,-0.986797673270284,-0.897713618206956,-0.744145284082941,-0.925138041312215,-0.569545535379422,-0.335793498122267,0.152082095160528,-0.757547734412333,-0.798698077926276,-0.857722149819544,-0.992436372425494,-1.058656001474626,-0.797932277912707,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,49,049,980500,49049980500,9805,Census Tract,G5020,S,6012485.0,0.0,+40.2022326,-111.6318777,1616,733,1209.4529738477956,331.2626026378894,211.8565993050277,188.42200367994482,160.58222421662666,167.16397829645686,448.56195357012245,222.1656839678183,200.8849970433857,82.57705361533282,285.83117523234444,171.0135325722198,3679.7747779849647,2.56862346420718,6.008103425927493,170262.0,40,0.697872857502049,156221.0,40,0.689517306374853,170506.0,40,0.690634029985238,170182.0,40,0.700011389579146,97788.0,40,0.59816245151475,98122.0,40,0.598006895506571,94863.0,40,0.579199690291667,98062.0,40,0.600127207143085,156154.0,40,0.714849521924343,166428.0,40,0.71383602603758,146544.0,40,0.696868703361584,156139.0,40,0.701200948720684,7.98028702794155,-0.484752796431354,-0.553628651923518,-0.632746867566554,-0.721230548861733,-0.732630446804811,-0.686277402710116,-0.552880380366359,-0.595070597437779,-0.636199453418704,-0.626415090723605,-0.599529698500959,-0.61504385862493,-0.586733658890966,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,49,049,010221,49049010221,102.21,Census Tract,G5020,S,2027559.0,0.0,+40.4253481,-111.8762321,2032,668,381.24016285561015,277.46001222981323,318.1170938077402,288.84279349089564,298.1760101058761,144.2834687129549,142.04866061090803,110.51684557725248,191.8934035463805,135.1214199200057,80.54202429960506,85.16480161003943,2453.4066967670815,0.800668459306475,2.026215290399027,45508.0,28,-1.547964016164124,41564.0,28,-1.549957330460566,45991.0,28,-1.547161846589845,45508.0,28,-1.548256885637614,23365.0,28,-1.568232748518517,22936.0,28,-1.571249243266571,23090.0,28,-1.567697683177839,23392.0,28,-1.569601585736399,42568.0,28,-1.533570954014089,45145.0,28,-1.535133284353972,40276.0,28,-1.531129260248402,42568.0,28,-1.543236719331836,-18.613191557499775,0.338182654476408,0.338124522209708,0.279774713455078,0.237714308776125,0.202380955993852,0.168412380277243,0.21620695226555,0.240007691288096,0.258505165459088,0.282126924567806,0.237867603945841,0.26184176216381,0.278104906975725,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,49,049,010222,49049010222,102.22,Census Tract,G5020,S,3393100.0,0.0,+40.4229336,-111.8591969,7105,1746,34.56027276956022,363.4601095001215,234.1332575070115,6.617913891651237,25.487795315481932,69.62260129637994,19.910130014746525,4.237176649410895,9.235086936268614,74.5362955038894,43.55692898339905,0.0,885.3575683679209,0.069077948576156,3.39083230416794,5612.0,0,-2.727446085972161,5166.0,0,-2.726200401732625,5656.0,0,-2.726190426556898,5612.0,0,-2.728623654496164,3396.0,0,-2.699645428156255,3368.0,0,-2.69985966822472,3332.0,0,-2.696810153036169,3404.0,0,-2.70162788679099,5940.0,0,-2.715274759706053,6310.0,0,-2.715828400465466,5598.0,0,-2.708182878673846,5940.0,0,-2.723678266139585,-32.56936800995093,0.77841385609083,0.814832466628517,0.737567680688867,0.542051542166339,0.515550507497451,0.581769373609598,0.631979661936823,0.662329820774946,0.680428554197469,0.740146369194985,0.698735324699195,0.714486839851721,0.716298347120689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,49,049,010129,49049010129,101.29,Census Tract,G5020,S,5943801.0,316270.0,+40.4183103,-111.8975923,5147,1358,2165.239716683954,5808.34816220876,1274.6361347332204,73.88439584758551,146.37826646308153,412.4359700036532,323.1367020209657,792.2821702382893,4079.8943621752455,1284.0391239504556,569.5525933437231,950.7070590448351,17880.53465671377,0.777025819588504,6.255969871362299,37866.0,12,-1.808487145853629,34809.0,12,-1.808888658281565,38131.0,12,-1.808148372869625,37786.0,12,-1.809284512500508,21489.0,12,-1.808018726099353,21296.0,12,-1.809603101047889,21076.0,12,-1.808192771048901,21510.0,12,-1.809470250329905,36070.0,12,-1.792137744545432,38351.0,12,-1.793109301869678,34052.0,12,-1.789210824834121,36055.0,12,-1.801648032943695,-21.646199442224304,0.604796352458917,0.844955009568961,0.541256539568008,0.214329442300435,0.220966188744185,0.397392812269435,0.364609893919457,0.525530164580119,1.417233528047422,0.632103131241974,0.467388706960076,0.549749729376054,0.640629509766836,Residential,0.0,0.0,0.0,0.025710986186622365,0.0,0.9742890138133777,0.0,0.0,0.0,1.1708370117862799e-05,0.0,0.0004436755670395054
214,49,049,010122,49049010122,101.22,Census Tract,G5020,S,12411180.0,0.0,+40.3615175,-112.0021352,7132,1731,61.66695337800698,231.1017866600269,10.579969854223759,6.804164330539413,8.578143117753882,38.12564051506979,23.55694123520854,4.756975631025643,16.301922569777147,0.0,31.79191337921176,152.5425437223766,585.8069543932204,0.452153872615394,12.403465015622219,0.0,0,-2.410559386794573,0.0,0,-2.409064252073379,0.0,0,-2.409166989728902,0.0,0,-2.411861402157144,0.0,0,-2.37946971775574,0.0,0,-2.379444291611555,0.0,0,-2.376078432508852,0.0,0,-2.381584860703273,0.0,0,-2.402322479219094,0.0,0,-2.402764651245698,0.0,0,-2.394354788830847,0.0,0,-2.410521283846024,-28.76719253647508,0.654127325608636,0.678343540014551,0.574050126289863,0.415465928042775,0.379104728270374,0.43812109370461,0.504905102974413,0.534713386421248,0.557475559605245,0.599219494395801,0.570269139567093,0.622156394949528,0.584598692429266,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,49,049,010127,49049010127,101.27,Census Tract,G5020,S,5698166.0,51547.0,+40.3711028,-111.8745922,6391,1686,36.11158482337744,214.27179807130545,6.80031161754966,21.096960002698477,24.2828875150142,7.558204891781576,8.073119703962966,16.296326537760656,8.966780910693979,2.232436246970678,7.058962860686492,9.011405389802743,361.7607785716043,1e-10,5.745892931959615,0.0,0,-2.812182414547005,0.0,0,-2.810687279825811,0.0,0,-2.810790017481335,0.0,0,-2.813484429909575,0.0,0,-2.781092745508172,0.0,0,-2.781067319363986,0.0,0,-2.777701460261284,0.0,0,-2.783207888455705,0.0,0,-2.803945506971525,0.0,0,-2.804387678998129,0.0,0,-2.795977816583279,0.0,0,-2.812144311598455,-33.586668869504265,0.812449471969382,0.837745225739861,0.734069912734963,0.584601087655732,0.547460901027689,0.583221204406039,0.660874256936527,0.69825316413275,0.715736364479396,0.759930076320817,0.72439160243714,0.751696896810717,0.741301025528405,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,49,049,010126,49049010126,101.26,Census Tract,G5020,S,5022151.0,231999.0,+40.3734527,-111.8968931,3115,725,1.631656298396311,328.0172269515302,12.980693190917114,2.85958137515789,9.298166317777277,0.0,1.626217638405236,0.0,59.27370599437326,0.0,0.0,0.0,415.6872477665573,0.008847889140237,5.250696148259424,0.0,0,-2.804323328953446,0.0,0,-2.802828194232252,0.0,0,-2.802930931887776,0.0,0,-2.805625344316017,0.0,0,-2.773233659914613,0.0,0,-2.773208233770428,0.0,0,-2.769842374667725,0.0,0,-2.775348802862146,0.0,0,-2.796086421377967,0.0,0,-2.796528593404571,0.0,0,-2.78811873098972,0.0,0,-2.804285226004897,-33.49235984238156,0.806166999786329,0.842895459196541,0.731941476463172,0.570615875836222,0.536705407828576,0.576311633979208,0.655871719592986,0.690579794231452,0.726258375334158,0.756314588352199,0.719426358886374,0.746637815520374,0.739074457020578,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,49,049,010124,49049010124,101.24,Census Tract,G5020,S,5245914.0,20222.0,+40.4032762,-111.9093644,5299,1864,63.14821239460784,27.74574832007738,87.71587066339268,14.973652019150979,25.725376540031288,107.6584016561474,104.41590733672177,49.44249257265027,22.10110123153158,118.30310322413251,23.34380660915967,36.79266962690288,681.3663421945063,0.773670804664376,5.262702340842962,0.0,2,-2.099012861549109,0.0,2,-2.097517726827914,0.0,2,-2.097620464483438,0.0,2,-2.100314876911679,0.0,2,-2.067923192510276,0.0,2,-2.06789776636609,0.0,2,-2.064531907263387,0.0,2,-2.070038335457808,0.0,2,-2.090775953973629,0.0,2,-2.091218126000233,0.0,2,-2.082808263585382,0.0,2,-2.098974758600559,-25.028634233529502,0.529644067719442,0.538913555232781,0.462106576756759,0.295712353161646,0.263417010845958,0.348429934545424,0.403811534556474,0.422782123681064,0.434739320156299,0.50036467947841,0.443572003642621,0.473174076673513,0.461715482033104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,49,049,010308,49049010308,103.08,Census Tract,G5020,S,5881222.0,0.0,+40.1265749,-111.6104064,4919,1247,1.074871476121392,7.299742042118061,0.0,6.588460583926919,0.0,0.249997888120883,0.845092232419193,0.0,5.527473358885814,0.0,0.0,10.220961701311012,31.806599282903274,0.349837793807409,5.876913584504871,25076.0,0,-2.396980444252513,22914.0,0,-2.397357211925796,25076.0,0,-2.397006912059806,25076.0,0,-2.397726396014957,15124.0,0,-2.380884478558438,15352.0,0,-2.379847751092318,14744.0,0,-2.380526158796229,15238.0,0,-2.38194313469442,29528.0,0,-2.357431686878956,31334.0,0,-2.358571465237083,27398.0,0,-2.355847923230582,29528.0,0,-2.366648073146518,-28.550771635887614,0.643179822456499,0.657343342898398,0.567448768200978,0.409684075798323,0.375309084394154,0.419381384527158,0.500118982831998,0.533532322141026,0.536638448776416,0.58158828959276,0.546663338004238,0.574264107235903,0.568000028830315,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,49,049,002002,49049002002,20.02,Census Tract,G5020,S,1125355.0,0.0,+40.2384669,-111.6805424,3223,1008,352.4331364601549,149.37551032156384,239.45927094882856,71.07868937536381,110.24329134788768,125.25221132740602,145.67298136518946,138.60528832042948,40.89160587679474,43.437495317054655,41.00187399742132,57.7849923058558,1515.2363469639506,0.742888956741459,1.12454476778794,27462.0,6,-1.960032565298797,25325.0,6,-1.959554503389675,27605.0,6,-1.959606426767927,27462.0,6,-1.960725607197231,16881.0,6,-1.943482468066638,16792.0,6,-1.944352624468436,16450.0,6,-1.943516678791674,16908.0,6,-1.94501390025171,24932.0,6,-1.951556140651915,26585.0,6,-1.952035114864331,23596.0,6,-1.946794696570514,24932.0,6,-1.960614141481238,-23.427284867800086,0.500386980505024,0.492603611449951,0.431825353970323,0.273233844166471,0.256689794758104,0.30788241135153,0.367389300517621,0.397690537644428,0.384290458327673,0.428738023416701,0.393775678569155,0.422470357270893,0.422522261307562,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,49,049,002001,49049002001,20.01,Census Tract,G5020,S,898372.0,0.0,+40.2412138,-111.6705960,3357,1217,911.9246668452625,870.3690113112375,1032.362691977796,404.63733216217923,547.9130351406521,555.4418379951172,689.8127667404598,588.3610796498389,521.6733979429847,455.1236198669973,562.6672643523791,410.3517099447358,7550.638413929639,0.897725620909552,0.897725620909552,150526.0,36,-0.920429790605601,138533.0,36,-0.925761175954478,150999.0,36,-0.925610902598561,150526.0,36,-0.918393872108197,88475.0,36,-0.993016345562446,88254.0,36,-0.996238131804215,85859.0,36,-1.009671775799683,88601.0,36,-0.992164339714811,131562.0,36,-0.934313954547909,140375.0,36,-0.934560649793359,124186.0,36,-0.944805356624486,131562.0,36,-0.947046594036832,-11.442012889150579,0.135480394524114,0.131708280595995,0.148471105010699,0.054623881277555,0.099640345631012,0.144007930745069,0.151567208758463,0.142501083884335,0.10892699367707,0.111334839482752,0.128130976853044,0.093488870194809,0.125694554509254,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
