X,Y,fid,stopabbr,stopname,city,county,stopabbr_j,uta_stopid,latitude,longitude,avgboard,avgalight,route,mode,zipcode,avgboard2,avgalight2
-112.009277,40.6529550000001,2292,151046,5400 S / Morning Breeze Dr (EB),Kearns,Salt Lake,151046,151046,40.652955,-112.009277,9,2,54,Bus,84118,9.47,1.55
-112.006608,40.652904,2293,151072,5400 S / 4800 W (WB),Kearns,Salt Lake,151072,151072,40.652904,-112.006608,9,24,54,Bus,84118,8.65,23.65
-112.014478,40.653128,2294,151075,5400 S / 5160 W (WB),Kearns,Salt Lake,151075,151075,40.653128,-112.014478,2,27,54,Bus,84118,2.47,26.89
-112.018716,40.6531220000001,2295,151077,5400 S / Rockford St (WB),Kearns,Salt Lake,151077,151077,40.653122,-112.018716,1,17,54,Bus,84118,1.34,17.36
-112.017506,40.629374,2296,151100,Clernates Dr @ 6718 S,West Jordan,Salt Lake,151100,151100,40.629374,-112.017506,2,0,62,Bus,84081,1.54,0.15
-112.018008,40.626852,2297,151101,Clernates Dr @ 6852 S,West Jordan,Salt Lake,151101,151101,40.626852,-112.018008,5,0,62,Bus,84081,5.25,0.21
-112.007221,40.6345650000001,2298,151109,Cougar Ln @ 6425 S,West Jordan,Salt Lake,151109,151109,40.634565,-112.007221,8,0,"248, 62",Bus,84118,8.08,0.21
-112.025055,40.642274,2299,151120,Lodestone Ave / 5625 W (WB),Kearns,Salt Lake,151120,151120,40.642274,-112.025055,12,4,"54, 62",Bus,84118,11.89,3.56
-112.033633,40.6426870000001,2300,151121,Copper City Dr / Lodestone Ave (SB),Kearns,Salt Lake,151121,151121,40.642687,-112.033633,1,20,54,Bus,84118,0.67,20.2
-112.031493,40.6527140000001,2301,151124,Copper City Dr / 5400 S (SB),Kearns,Salt Lake,151124,151124,40.652714,-112.031493,0,9,54,Bus,84118,0.31,9.38
-112.031468,40.6492410000001,2302,151125,Copper City Dr / Plumbago Ave (SB),Kearns,Salt Lake,151125,151125,40.649241,-112.031468,2,10,54,Bus,84118,2.42,9.69
-112.033345,40.6454120000001,2303,151126,Copper City Dr / Borax Ave (SB),Kearns,Salt Lake,151126,151126,40.645412,-112.033345,3,16,54,Bus,84118,2.83,15.82
-112.005409,40.645425,2304,151131,4800 W @ 5815 S,Kearns,Salt Lake,151131,151131,40.645425,-112.005409,3,1,248,Bus,84118,2.52,0.72
-112.005642,40.644912,2305,151133,4800 W @ 5846 S,Kearns,Salt Lake,151133,151133,40.644912,-112.005642,1,2,248,Bus,84118,0.93,2.22
-111.957986,40.6526180000001,2306,152001,2700 W @ 5410 S,Taylorsville,Salt Lake,152001,152001,40.652618,-111.957986,1,4,227,Bus,84129,1.24,3.76
-111.957966,40.650851,2307,152002,2700 W @ 5514 S,Taylorsville,Salt Lake,152002,152002,40.650851,-111.957966,0,0,227,Bus,84129,0.31,0.05
-111.957952,40.647392,2308,152003,2700 W @ 5730 S,Taylorsville,Salt Lake,152003,152003,40.647392,-111.957952,0,0,227,Bus,84129,0,0.31
-111.957964,40.643738,2309,152005,2700 W @ 5928 S,Taylorsville,Salt Lake,152005,152005,40.643738,-111.957964,2,2,227,Bus,84129,2.21,1.8
-111.957957,40.6399730000001,2310,152006,2700 W @ 6102 S,Taylorsville,Salt Lake,152006,152006,40.639973,-111.957957,0,1,227,Bus,84129,0.31,1.19
-111.957946,40.637777,2311,152007,2700 W @ 6210 S,Taylorsville,Salt Lake,152007,152007,40.637777,-111.957946,2,2,227,Bus,84129,1.6,2.27
-111.967472,40.631333,2312,152008,3200 W @ 6602 S,Taylorsville,Salt Lake,152008,152008,40.631333,-111.967472,,,F232,Flex Bus,84129,,
-111.957942,40.6351040000001,2313,152009,2700 W @ 6400 S,Taylorsville,Salt Lake,152009,152009,40.635104,-111.957942,0,1,227,Bus,84129,0.31,1.29
-111.957943,40.6329190000001,2314,152010,2700 W @ 6538 S,Taylorsville,Salt Lake,152010,152010,40.632919,-111.957943,0,2,227,Bus,84129,0.21,1.91
-111.957941,40.629804,2315,152011,2700 W @ 6694 S,West Jordan,Salt Lake,152011,152011,40.629804,-111.957941,1,2,227,Bus,84084,1.13,2.06
-111.957931,40.6281050000001,2316,152012,2700 W @ 6800 S,West Jordan,Salt Lake,152012,152012,40.628105,-111.957931,0,0,227,Bus,84084,0,0.05
-111.957925,40.6260370000001,2317,152013,2700 W @ 6900 S,West Jordan,Salt Lake,152013,152013,40.626037,-111.957925,1,0,227,Bus,84084,0.51,0.26
-111.957922,40.623654,2318,152014,2700 W @ 7022 S,West Jordan,Salt Lake,152014,152014,40.623654,-111.957922,0,1,227,Bus,84084,0.15,1.29
-111.957897,40.6144830000001,2319,152018,2700 W @ 7520 S,West Jordan,Salt Lake,152018,152018,40.614483,-111.957897,2,1,227,Bus,84084,2.21,1.13
-111.957698,40.614404,2320,152020,2700 W @ 7531 S,West Jordan,Salt Lake,152020,152020,40.614404,-111.957698,2,2,227,Bus,84084,1.54,1.6
-111.967304,40.644705,2321,152023,3200 W @ 5865 S,Taylorsville,Salt Lake,152023,152023,40.644705,-111.967304,,,F232,Flex Bus,84129,,
-111.957727,40.6263470000001,2322,152025,2700 W @ 6867 S,West Jordan,Salt Lake,152025,152025,40.626347,-111.957727,0,0,227,Bus,84084,0.05,0.21
-111.957747,40.6282110000001,2323,152026,2700 W @ 6771 S,West Jordan,Salt Lake,152026,152026,40.628211,-111.957747,0,0,227,Bus,84084,0,0
-111.957756,40.629872,2324,152027,2700 W @ 6683 S,West Jordan,Salt Lake,152027,152027,40.629872,-111.957756,1,1,227,Bus,84084,1.29,0.98
-111.957736,40.6325380000001,2325,152028,2700 W @ 6549 S,Taylorsville,Salt Lake,152028,152028,40.632538,-111.957736,1,0,227,Bus,84129,0.98,0.26
-111.957738,40.6350890000001,2326,152029,2700 W @ 6387 S,Taylorsville,Salt Lake,152029,152029,40.635089,-111.957738,0,0,227,Bus,84129,0.26,0.36
-111.957746,40.6377630000001,2327,152031,2700 W @ 6245 S,Taylorsville,Salt Lake,152031,152031,40.637763,-111.957746,4,1,227,Bus,84129,4.07,0.98
-111.957753,40.6411150000001,2328,152032,2700 W @ 6055 S,Taylorsville,Salt Lake,152032,152032,40.641115,-111.957753,1,1,227,Bus,84129,1.08,0.67
-111.957759,40.6439320000001,2329,152033,2700 W @ 5901 S,Taylorsville,Salt Lake,152033,152033,40.643932,-111.957759,1,2,227,Bus,84129,0.87,1.75
-111.957764,40.645248,2330,152034,2700 W @ 5821 S,Taylorsville,Salt Lake,152034,152034,40.645248,-111.957764,0,0,227,Bus,84129,0.05,0
-111.957764,40.6466380000001,2331,152035,2700 W @ 5737 S,Taylorsville,Salt Lake,152035,152035,40.646638,-111.957764,1,0,227,Bus,84129,0.72,0
-111.957781,40.6513440000001,2332,152036,2700 W @ 5485 S,Taylorsville,Salt Lake,152036,152036,40.651344,-111.957781,1,1,227,Bus,84129,1.29,0.93
-111.967487,40.6525520000001,2333,152037,3200 W @ 5404 S,Taylorsville,Salt Lake,152037,152037,40.652552,-111.967487,,,F232,Flex Bus,84129,,
-111.967472,40.6506670000001,2334,152038,3200 W @ 5558 S,Taylorsville,Salt Lake,152038,152038,40.650381,-111.967481,,,F232,Flex Bus,84129,,
-111.967479,40.6483610000001,2335,152039,3200 W @ 5668 S,Taylorsville,Salt Lake,152039,152039,40.648361,-111.967479,,,F232,Flex Bus,84129,,
-111.967447,40.6426970000001,2336,152041,3200 W @ 5886 S,Taylorsville,Salt Lake,152041,152041,40.642697,-111.967447,,,F232,Flex Bus,84129,,
-111.967447,40.633385,2337,152043,3200 W @ 6484 S,Taylorsville,Salt Lake,152043,152043,40.633385,-111.967447,,,F232,Flex Bus,84129,,
-111.982345,40.620435,2338,152044,Jordan Landing Blvd @ 7181 S,West Jordan,Salt Lake,152044,152044,40.620435,-111.982345,13,7,"240, F570",Bus,84084,12.76,7.11
-111.967447,40.628178,2339,152045,3200 W @ 6774 S,West Jordan,Salt Lake,152045,152045,40.628178,-111.967447,,,F232,Flex Bus,84084,,
-111.967456,40.622734,2340,152046,3200 W @ 7080 S,West Jordan,Salt Lake,152046,152046,40.622734,-111.967456,,,F232,Flex Bus,84084,,
-111.9675,40.619722,2341,152047,3200 W @ 7218 S,West Jordan,Salt Lake,152047,152047,40.620161,-111.967473,,,F232,Flex Bus,84084,,
